MAINID,Address,AltName,CitesPerCost,Cost,CostText,Country,Exclusive,FullTextURL,ISSN,JournalEmail,JournalURL,Name,Phone,SubmissionEmail,SubmissionNote,SubmissionURL,Type,eISSN,eType
140,"<p>Editor-in-Chief<br />Gonzaga Law Review<br />PO Box 3528<br />Spokane, WA 99220-3528</p>",,0.26,35.0,,US,false,,0046-6115,GULR@gonzaga.edu,https://www.gonzaga.edu/school-of-law/about/student-life/student-resources/student-organizations/gonzaga-law-review,Gonzaga Law Review,,GULR@gonzaga.edu,<p>Accepts electronic submissions via e-mail.</p>,https://gonzagalawreview.com/for-authors,G,,E
141,"<p>Articles Editors<br />Hamline Law Review<br />Hamline University School of Law<br />1536 Hewitt Avenue<br />St. Paul, MN 55104-1284</p>",,-1.0,20.0,,US,false,,0198-7364,eic.lawreview@mitchellhamline.edu,https://mitchellhamline.edu/law-review/,Mitchell-Hamline Law Review,651-290-6450,submissions.lawreview@mitchellhamline.edu,<p>Accepts electronic submissions via e-mail</p>,https://mitchellhamline.edu/law-review/submissions/,G,,C
142,"<p>The John Marshall Law Review<br />Executive Lead Articles Editor<br />315 South Plymouth Court<br />Chicago, IL 60604</p>",John Marshall Law Review (1979-2018),0.49,22.0,,US,false,,0270-854X,JMLawreview@gmail.com,https://repository.law.uic.edu/lawreview/,UIC Law Review,312-987-1415,JMLawreview@gmail.com,<p>Accepts electronic submissions via e-mail.</p>,,G,,E
143,"<p>Editor-in-Chief<br />The Nebraska Law Review<br />P.O. Box 830903<br />Lincoln, NE 68583-0903</p>",,0.48,50.0,,US,false,https://digitalcommons.unl.edu/nlr/,0047-9209,lawrev@unl.edu,https://lawreview.unl.edu/,Nebraska Law Review,402.472.1267,lawrev@unl.edu,"<p>Accepts e-mail, uploads via <a href=""http://law.bepress.com/expresso/"">ExpressO</a>, or paper copy submissions.</p>",https://lawreview.unl.edu/submissions-1,G,,E
144,"<p>Martha Drane<br />Editor-in-Chief<br />New England Law Review<br />46 Church St.<br />Boston, MA 02116</p>",,-1.0,35.0,,US,false,,0028-4823,lawreview@nesl.edu,https://student.nesl.edu/students/law_review.cfm,New England Law Review,617-422-7294,lawreview@nesl.edu,<p>Accepts e-mail submissions.</p>,http://www.nesl.edu/lawrev/submissions.cfm,G,,E
145,"<p>Pepperdine Law Review<br />Pepperdine University School of Law<br />24255 Pacific Coast Hwy.<br />Malibu, CA 90263</p>",,0.61,28.0,,US,false,,0092-430X,,https://digitalcommons.pepperdine.edu/plr/,Pepperdine Law Review,310-506-4764; Fax 310-506-7283,lawrevsubmis@law.pepperdine.edu,<p>Accepts e-mail submissions.</p>,http://law.pepperdine.edu/organizations/law_review/submissions.html,G,,E
146,"<p>Seattle University Law Review<br />Attention: Editor in Chief<br />Sullivan Hall<br />901 12th Avenue<br />P.O. Box 222000<br />Seattle, WA 98122-1090</p>",,0.83,28.0,,US,false,https://law.seattleu.edu/academics/co-curricular/journals/law-review,1078-1927,LawReview2@seattleu.edu,https://digitalcommons.law.seattleu.edu/sulr/,Seattle University Law Review,(206) 398-4270,LawReview2@seattleu.edu,<p>Prefers e-mail submissions.</p>,https://digitalcommons.law.seattleu.edu/sulr/policies.html,G,,E
147,"<p>Editor-in-Chief<br />Stetson Law Review<br />1401 61st Street South, St.<br />Petersburg, FL 33707</p>",,0.5,32.5,,US,false,,0739-9731,lreview@law.stetson.edu,https://www.stetson.edu/law/lawreview/,Stetson Law Review,,,"<p>Accepts electronic or hard copy submissions. Prefers electronic submissions to be in Microsoft Word format. The Stetson Law Review currently publishes in an all-symposium format. In addition to the authors solicited for publication by the Law Review, the Editorial Board welcomes the submission of unsolicited articles of substantial legal merit that are consistent with upcoming symposium topics.</p>",https://www2.stetson.edu/law-review/submissions/,G,,E
148,"<p>Editor-in-Chief<br />Touro Law Review<br />Jacob D. Fuchsberg Law Center<br />300 Nassau Road,<br />Huntington, NY 11743</p>",,0.41,28.0,,US,false,,8756-7326,LawReview@TouroLaw.edu,https://www.tourolaw.edu/Academics/1160,Touro Law Review,,TLCArticlesEditor@student.touro.edu,<p>Accepts e-mail submissions. Requires Word format.</p>,https://www.tourolaw.edu/Academics/1215,G,,E
149,"<p>University of Baltimore Law Review<br />Attn: Articles Editor<br />1420 North Charles Street<br />Baltimore, Maryland 21201-5779</p>",,0.77,15.0,,US,false,,0091-5440,,https://scholarworks.law.ubalt.edu/ublr/,University of Baltimore Law Review,,,<p>Accepts e-mail submissions.</p>,https://scholarworks.law.ubalt.edu/ublr/policies.html,G,,E
150,"<p>Articles Editor<br />University of Dayton Law Review<br />300 College Park<br />Dayton, OH 45469-2772</p>",,-1.0,30.0,,US,false,,0162-9174,UDlawreview@udayton.edu,https://udayton.edu/law/jd_programs/law_review/index.php,University of Dayton Law Review,(937) 229-3642; Fax: (937) 229-4950,UDlawreview@udayton.edu,<p>E-mail submissions are preferred.</p>,https://udayton.edu/law/jd_programs/law_review/submissions.php,G,,E
151,"<p>Executive Editor of Publication<br />Valparaiso University Law Review<br />Valparaiso University School of Law<br />Valparaiso, IN 46383</p>",,-1.0,30.0,,US,false,,0042-2363,,http://scholar.valpo.edu/vulr/,Valparaiso University Law Review,(219) 465-7895,lawreview@valpo.edu,<p>Accepts e-mail (in Word format) or paper copy submissions.</p>,http://scholar.valpo.edu/vulr/submission_guidelines.html,G,,E
152,"<p>Editor-in-Chief<br />Vermont Law Review<br />Vermont Law School<br />P.O. Box 96<br />South Royalton, VT 05068</p>",,0.48,32.0,,US,false,,0145-2908,lawreview@vermontlaw.edu,https://lawreview.vermontlaw.edu/,Vermont Law Review,(802) 831-1253,VLRArticlesEditor@vermontlaw.edu,<p>Accepts e-mail submissions.</p>,https://lawreview.vermontlaw.edu/manuscript-submissions-new/,G,,E
